0.1096,0.0975,0,0,0,0,0,0,0,0,0,0,0,0
0.1056,0.0843,0,0,0,0,0,0,0,0,0,0,0,0
0.1135,0.0855,0.0824,0.0949,0,0,0,0,0,0,0,0,0,0
0.1225,0.0975,0.1014,0.1203,0.1228,0,0,0,0,0,0,0,0,0
0.1263,0.1906,0.115,0,0.145,0.1527,0,0,0,0,0,0,0,0
0.129,0.1126,0.1187,0.1355,0.1453,0.1634,0.199,0,0,0,0,0,0,0
0.1474,0.1168,0.1351,0.1483,0.1608,0,0.206,0,0,0,0,0,0,0
0.1469,0.1293,0.1362,0.1545,0.166,0.1914,0.202,0,0,0,0,0,0,0
0.1564,0.1307,0.1465,0,0.181,0.1846,0.192,0,0.2177,0.2242,0,0,0,0
0.1615,0.1348,0.1404,0.1656,0.181,0.1921,0.2017,0.2233,0.2284,0.2367,0.2421,0,0,0
0.1713,0.1323,0.1446,0.1527,0.1901,0,0.2084,0.2196,0.2377,0.2272,0.2527,0.2316,0,0
0.162,0.1351,0.1397,0.1641,0.1743,0.1966,0.2038,0.2117,0.2256,0.2472,0.2377,0.224,0,0
0.1637,0.1335,0.135,0.1502,0.1674,0.1787,0.1938,0.2045,0.2138,0.2228,0.2247,0.231,0.2281,0.2321
0.1669,0.1309,0.1402,0.1468,0.1697,0.1815,0.1875,0.2056,0.2072,0.2145,0.2434,0.2384,0.219,0.2326
0.1636,0.0901,0.1425,0.1562,0.1576,0.1773,0.1891,0.198,0.2077,0.2145,0.2135,0.2188,0.2337,0
0.156,0.1257,0.1383,0.143,0.1636,0,0.1878,0.1936,0.2043,0,0.2102,0.2251,0,0
0.1574,0.129,0.1251,0.1396,0.1527,0.1713,0.1755,0.1862,0.1989,0.1891,0.2098,0,0,0
0.1454,0.1175,0.1271,0,0.1441,0.1548,0.175,0,0,0.1875,0,0,0,0
0.1425,0.1179,0.1163,0.1295,0.1393,0.1432,0,0,0,0,0,0,0,0
0.1281,0.1029,0.1212,0.1198,0.1314,0,0,0,0,0,0,0,0,0
0.13,0.1024,0.09912,0.1024,0.1202,0.1325,0,0,0,0,0,0,0,0
0.1106,0.09493,0.09233,0,0.1156,0,0,0,0,0,0,0,0,0
0.1068,0.08843,0.08395,0.0921,0.101,0,0,0,0,0,0,0,0,0
0.0956,0.07287,0.07938,0.0838,0,0,0,0,0,0,0,0,0,0
0.088,0.07404,0.07454,0,0,0,0,0,0,0,0,0,0,0
0.0955,0.0817,0,0,0,0,0,0,0,0,0,0,0,0